colony	gene	allele
EPD0018_1_D08_10142	Cbx7	Cbx7<tm1a(KOMP)Wtsi>
EPD0033_2_A09_10143	Ikbkap	Ikbkap<tm1a(KOMP)Wtsi>
EPD0033_3_C11_10144	Crlf3	Crlf3<tm1a(KOMP)Wtsi>
EPD0043_3_B02_10145	Ampd3	Ampd3<tm2a(KOMP)Wtsi>
EPD0025_4_B07_10146	Csrp2bp	Csrp2bp<tm1a(KOMP)Wtsi>
Prkab1Prkab1<Gt(RRR454)Byg>_10147	Prkab1	Prkab1<Gt(RRR454)Byg>
EPD0033_4_D01_10148	Nfkb1	Nfkb1<tm1a(KOMP)Wtsi>
EPD0079_1_A10_10149	Slc22a21	Slc22a21<tm1a(KOMP)Wtsi>
EPD0090_4_H11_10150	Dusp3	Dusp3<tm1a(KOMP)Wtsi>
EPD0084_1_C03_10151	Sytl1	Sytl1<tm1a(KOMP)Wtsi>
EPD0026_1_H08_10152	Pnpt1	Pnpt1<tm1a(KOMP)Wtsi>
EPD0033_2_D07_10153	Gmnn	Gmnn<tm1a(KOMP)Wtsi>
EPD0095_1_A11_10154	Acot6	Acot6<tm1a(KOMP)Wtsi>
EPD0018_2_C08_10155	Jarid2	Jarid2<tm1a(KOMP)Wtsi>
EPD0081_5_E07_10156	Abhd5	Abhd5<tm1a(KOMP)Wtsi>
EPD0033_1_F12_10157	Nf1	Nf1<tm1a(KOMP)Wtsi>
EPD0158_3_A08_10158	Rhd	Rhd<tm1a(EUCOMM)Wtsi>
EPD0056_1_A10_10159	Eps15	Eps15<tm1a(KOMP)Wtsi>
EPD0087_1_D11_10160	Adar	Adar<tm1a(EUCOMM)Wtsi>
EPD0086_2_F11_10161	Gys2	Gys2<tm1a(KOMP)Wtsi>
EPD0164_6_A02_10162	Gbe1	Gbe1<tm1a(KOMP)Wtsi>
EPD0089_2_F03_10163	Plekhm2	Plekhm2<tm1a(EUCOMM)Wtsi>
EPD0059_3_A06_10168	Acot13	Acot13<tm1a(EUCOMM)Wtsi>
EPD0060_4_E10_10169	Cpeb4	Cpeb4<tm1a(EUCOMM)Wtsi>
EPD0100_4_A03_10170	Nfkbid	Nfkbid<tm1a(EUCOMM)Wtsi>
HEPD0516_1_C05_10171	Frmd5	Frmd5<tm1a(EUCOMM)Hmgu>
EPD0028_1_F01_10172	Smyd2	Smyd2<tm1a(KOMP)Wtsi>
